------------------------------------------------ INICIALIZADO O APRENDIZADO ------------------------------------------------ 
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :1--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
29        Esquerda    29          3,487     Direita     26          4,305     Cima        -1          0,000     Baixo       27          3,487     
30        Esquerda    -1          0,000     Direita     28          3,874     Cima        -1          0,000     Baixo       30          3,138     
31        Esquerda    -1          0,000     Direita     27          3,487     Cima        29          3,487     Baixo       -1          0,000     
32        Esquerda    32          4,305     Direita     -1          0,000     Cima        36          4,305     Baixo       18          5,314     
33        Esquerda    -1          0,000     Direita     31          4,783     Cima        33          3,874     Baixo       -1          0,000     
34        Esquerda    34          3,487     Direita     -1          0,000     Cima        35          3,874     Baixo       32          4,305     
35        Esquerda    -1          0,000     Direita     33          3,874     Cima        -1          0,000     Baixo       -1          0,000     
36        Esquerda    -1          0,000     Direita     36          4,305     Cima        -1          0,000     Baixo       33          3,874     
37        Esquerda    35          3,874     Direita     -1          0,000     Cima        -1          0,000     Baixo       31          4,783     
38        Esquerda    10          5,905     Direita     -1          0,000     Cima        39          4,783     Baixo       -1          0,000     
39        Esquerda    -1          0,000     Direita     14          5,905     Cima        10          5,905     Baixo       11          7,290     
40        Esquerda    17          5,314     Direita     16          5,314     Cima        -1          0,000     Baixo       37          5,314     
41        Esquerda    22          5,314     Direita     18          5,314     Cima        -1          0,000     Baixo       20          6,561     
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :6--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
1         Esquerda    -1          0,000     Direita     15          6,561     Cima        1           8,100     Baixo       -1          0,000     
2         Esquerda    3           8,100     Direita     2           9,000     Cima        -1          0,000     Baixo       0           7,290     
3         Esquerda    1           8,100     Direita     -1          0,000     Cima        5           10,000    Baixo       -1          0,000     
4         Esquerda    -1          0,000     Direita     1           8,100     Cima        4           9,000     Baixo       -1          0,000     
5         Esquerda    -1          0,000     Direita     5           10,000    Cima        -1          0,000     Baixo       3           8,100     
6         Esquerda    4           0,000     Direita     8           0,000     Cima        6           0,000     Baixo       2           0,000     
7         Esquerda    -1          0,000     Direita     7           8,100     Cima        -1          0,000     Baixo       5           10,000    
8         Esquerda    6           9,000     Direita     9           7,290     Cima        20          7,290     Baixo       8           9,000     
9         Esquerda    5           10,000    Direita     11          8,100     Cima        7           8,100     Baixo       -1          0,000     
